,Frequency,Intensity0,Intensity1,Intensity2,Intensity3,Intensity4,Intensity5,Intensity6,Intensity7,Intensity8,Intensity9,Intensity10,Intensity11,Intensity12,Intensity13,Intensity14,Intensity15,Intensity16,Intensity17,Intensity18,Intensity19,Intensity20,Intensity21,Intensity22,Intensity23,Intensity24,Intensity25,Intensity26,Intensity27,Intensity28,Intensity29,Intensity30,Intensity31,Intensity32,Intensity33,Intensity34,Intensity35,Intensity36,Intensity37,Intensity38,Intensity39,Intensity40,Intensity41,Intensity42,Intensity43,Intensity44,Intensity45,Intensity46,Intensity47,Intensity48,Intensity49,Intensity50,Intensity51,Intensity52,Intensity53,Intensity54,Intensity55,Intensity56,Intensity57,Intensity58,Intensity59,Intensity60,Intensity61,Intensity62,Intensity63,Intensity64,Intensity65,Intensity66,Intensity67,Intensity68,Intensity69,Intensity70,Intensity71,Intensity72,Intensity73,Intensity74,Intensity75,Intensity76,Intensity77,Intensity78,Intensity79,Intensity80,Intensity81,Intensity82,Intensity83,Intensity84,Intensity85,Intensity86,Intensity87,Intensity88,Intensity89,Intensity90,Intensity91,Intensity92,Intensity93,Intensity94,Intensity95,Intensity96,Intensity97,Intensity98,Intensity99,Intensity100,Intensity101,Intensity102,Intensity103,Intensity104,Intensity105,Intensity106,Intensity107,Intensity108,Intensity109,Intensity110,Intensity111,Intensity112,Intensity113,Intensity114,Intensity115,Intensity116,Intensity117,Intensity118,Intensity119
1363,0.310406782444634,0.18823,0.18851,0.19481,0.17323,0.18096,0.17982,0.17639,0.17983,0.18631,0.18591,0.17506,0.08851,0.09626,0.09584,0.14414,0.27388,0.20693,0.15692,0.152,0.14601,0.21069,0.12955,0.14581,0.18733,0.27834,0.31337,0.21001,0.20545,0.17165,0.15699,0.1289,0.14483,0.18391,0.1827,0.15001,0.15724,0.15031,0.14185,0.17116,0.17801,0.17327,0.17589,0.1791,0.15274,0.15176,0.14744,0.17103,0.14896,0.16001,0.17008,0.1583,0.15487,0.16953,0.1517,0.22497,0.08988,0.09125,0.09579,0.10959,0.11016,0.08959,0.09118,0.09836,0.10367,0.11956,0.10094,0.15957,0.17957,0.15749,0.11354,0.19739,0.1637,0.15268,0.15496,0.15158,0.16444,0.15136,0.15854,0.1533,0.18145,0.15013,0.17718,0.17501,0.16887,0.18987,0.16425,0.16894,0.28157,0.10342,0.10272,0.09625,0.11437,0.12144,0.09647,0.10615,0.10613,0.10879,0.11484,0.10332,0.17706,0.15575,0.17423,0.12151,0.18359,0.1657,0.16053,0.15866,0.1721,0.15994,0.16584,0.16034,0.1626,0.1781,0.15394,0.17259,0.18582,0.17661,0.188,0.18082,0.15713
1364,0.31146618885865623,0.18784,0.1901,0.1916,0.17665,0.182,0.18373,0.17886,0.17857,0.18713,0.18434,0.17762,0.09403,0.09873,0.09948,0.14697,0.28811,0.1963,0.17226,0.15317,0.15699,0.19626,0.14223,0.14668,0.17072,0.25525,0.32475,0.21708,0.19923,0.18365,0.15293,0.14525,0.1456,0.17771,0.18196,0.14887,0.16438,0.14656,0.14243,0.16667,0.17329,0.18082,0.17586,0.17039,0.15655,0.15558,0.14835,0.17975,0.14857,0.16431,0.17353,0.1633,0.15713,0.16675,0.15027,0.25239,0.09742,0.09399,0.09568,0.10755,0.11786,0.09405,0.09626,0.10172,0.1066,0.12379,0.10485,0.15574,0.17978,0.15939,0.11599,0.18633,0.16807,0.15648,0.16085,0.15459,0.15721,0.15277,0.16123,0.15894,0.17827,0.15477,0.17611,0.17334,0.16799,0.19564,0.16671,0.16865,0.25352,0.10955,0.1056,0.098,0.1149,0.12383,0.10116,0.11027,0.10853,0.10726,0.11976,0.10637,0.17574,0.1581,0.17757,0.12444,0.17529,0.17208,0.1655,0.15995,0.17504,0.15454,0.16834,0.16363,0.15922,0.16966,0.15517,0.17221,0.18221,0.17567,0.18595,0.17683,0.15799
1365,0.31253285146450055,0.19231,0.19641,0.19104,0.18496,0.18688,0.19125,0.18557,0.18288,0.19183,0.18743,0.18426,0.10167,0.10638,0.10693,0.1545,0.31002,0.18933,0.19062,0.16751,0.17356,0.19442,0.16681,0.15949,0.16423,0.23602,0.36036,0.24333,0.19629,0.19331,0.16489,0.16863,0.15378,0.17392,0.17764,0.15455,0.16905,0.14924,0.14784,0.16461,0.16854,0.18054,0.17883,0.16464,0.16833,0.16126,0.15192,0.18626,0.15335,0.16705,0.1746,0.16837,0.1631,0.16551,0.15381,0.26018,0.10633,0.09611,0.09474,0.10786,0.12634,0.10222,0.10378,0.10624,0.11141,0.1281,0.11109,0.15998,0.18469,0.16945,0.11893,0.18029,0.1783,0.16683,0.16992,0.16223,0.15565,0.16021,0.16684,0.16943,0.179,0.1649,0.17709,0.17273,0.1711,0.19622,0.17184,0.17213,0.22394,0.11706,0.10774,0.10217,0.1175,0.12756,0.10948,0.11512,0.11234,0.10801,0.12532,0.11114,0.17642,0.16475,0.18286,0.12913,0.17326,0.18091,0.17525,0.16594,0.18001,0.15383,0.17604,0.17064,0.16293,0.16282,0.16174,0.17287,0.17706,0.17626,0.18469,0.17664,0.16328
1366,0.3136068450680976,0.20397,0.20787,0.19602,0.19775,0.19676,0.20259,0.19709,0.19352,0.20158,0.19606,0.19524,0.11165,0.12217,0.11748,0.1671,0.31508,0.18638,0.21004,0.1959,0.20291,0.19848,0.20204,0.18473,0.16772,0.23805,0.36737,0.29112,0.20807,0.20088,0.19142,0.19606,0.17024,0.17542,0.17432,0.16796,0.17153,0.15945,0.15898,0.16804,0.1708,0.17697,0.18729,0.1654,0.18638,0.16926,0.16018,0.18789,0.16341,0.17002,0.17637,0.17412,0.17336,0.16898,0.16276,0.24526,0.1151,0.09965,0.09636,0.11354,0.13434,0.11161,0.11241,0.11193,0.11823,0.1327,0.11807,0.17382,0.19541,0.18658,0.1233,0.18324,0.19549,0.18493,0.18204,0.1746,0.16268,0.17402,0.17614,0.18359,0.18474,0.17999,0.18453,0.17596,0.17931,0.19504,0.17994,0.18017,0.21189,0.1235,0.11023,0.10958,0.1215,0.13442,0.11806,0.1207,0.11944,0.11394,0.13003,0.11752,0.1831,0.17773,0.1908,0.13551,0.18067,0.19276,0.18912,0.17919,0.18923,0.15904,0.18772,0.18139,0.17424,0.16386,0.17367,0.178,0.17573,0.17934,0.18939,0.18332,0.17367
1367,0.3146882455071816,0.2219,0.22388,0.20859,0.21446,0.21121,0.21807,0.21365,0.20937,0.217,0.20882,0.21039,0.12327,0.1414,0.13021,0.18381,0.30435,0.18893,0.23173,0.23406,0.24771,0.20508,0.24812,0.22042,0.17955,0.26032,0.33425,0.35631,0.22965,0.20752,0.23025,0.22583,0.19354,0.1831,0.17589,0.18798,0.17992,0.1775,0.1759,0.1781,0.1837,0.17917,0.20171,0.17805,0.20968,0.17994,0.17439,0.18795,0.17735,0.17882,0.18307,0.18087,0.18615,0.17808,0.17737,0.23036,0.12292,0.10724,0.10268,0.12376,0.14167,0.11967,0.12185,0.11862,0.1259,0.13771,0.12541,0.19549,0.21214,0.20831,0.13031,0.19483,0.21831,0.20922,0.19909,0.19271,0.17946,0.1948,0.18756,0.20074,0.19428,0.19898,0.19966,0.18587,0.19244,0.19765,0.1924,0.19286,0.22269,0.1272,0.11514,0.12041,0.12666,0.14357,0.12566,0.12797,0.12957,0.12349,0.13508,0.12526,0.19808,0.19724,0.20371,0.14365,0.1976,0.20973,0.2072,0.20032,0.2059,0.17207,0.20247,0.19431,0.19075,0.17527,0.18922,0.18899,0.18232,0.18666,0.20157,0.19717,0.18836
1368,0.3157771296691416,0.24236,0.24243,0.22858,0.23433,0.22941,0.23683,0.23378,0.22825,0.23628,0.22473,0.22851,0.1359,0.15631,0.14404,0.20203,0.30437,0.19905,0.25969,0.27656,0.30009,0.21691,0.30152,0.26137,0.19925,0.29653,0.31826,0.43073,0.24502,0.2142,0.27925,0.25651,0.2195,0.19731,0.18428,0.21114,0.19913,0.20205,0.19602,0.19481,0.20436,0.19228,0.21964,0.20553,0.23602,0.19293,0.19337,0.19277,0.19366,0.19652,0.19674,0.1886,0.20041,0.19164,0.19652,0.23538,0.1309,0.11962,0.11345,0.13508,0.14849,0.12667,0.13352,0.1266,0.13337,0.14356,0.1343,0.2209,0.23306,0.23179,0.14006,0.21266,0.24195,0.23579,0.22196,0.21585,0.20376,0.22216,0.19906,0.21969,0.20663,0.21957,0.2193,0.20334,0.20942,0.20723,0.21033,0.20946,0.25277,0.1297,0.12349,0.13325,0.13476,0.15267,0.1331,0.13823,0.14016,0.13274,0.14263,0.13395,0.21891,0.22029,0.22288,0.15341,0.22021,0.2324,0.22981,0.22524,0.22858,0.19337,0.21949,0.20648,0.20958,0.19464,0.20554,0.20408,0.19732,0.1997,0.2181,0.21585,0.20579
1369,0.31687357550924466,0.26112,0.25972,0.25247,0.25507,0.2491,0.2549,0.25384,0.24708,0.25531,0.24285,0.24686,0.14819,0.1638,0.15597,0.21787,0.32276,0.21861,0.29275,0.31526,0.34389,0.23855,0.3472,0.30179,0.22919,0.33667,0.3633,0.50542,0.24658,0.2219,0.33515,0.28498,0.24137,0.2176,0.19946,0.23229,0.22391,0.22857,0.21529,0.21615,0.22657,0.21525,0.23572,0.24421,0.26107,0.20592,0.21348,0.20544,0.21039,0.21838,0.21494,0.19754,0.2164,0.20727,0.21677,0.26606,0.14052,0.13444,0.12678,0.14459,0.15457,0.13488,0.14788,0.13575,0.13987,0.15065,0.14486,0.24418,0.25295,0.25278,0.15082,0.23473,0.26024,0.25923,0.24685,0.2393,0.22978,0.25127,0.21051,0.2369,0.22152,0.23765,0.23662,0.2251,0.2281,0.22453,0.23178,0.22771,0.29337,0.13439,0.13512,0.14503,0.14655,0.15951,0.14087,0.15053,0.14715,0.13997,0.15246,0.14298,0.23935,0.24142,0.24502,0.16318,0.24258,0.25613,0.25462,0.24686,0.24851,0.21938,0.23674,0.21542,0.22791,0.2162,0.21973,0.219,0.21726,0.21752,0.2335,0.2349,0.22356
1370,0.3179776620692396,0.27508,0.27142,0.27347,0.2722,0.26521,0.2672,0.26863,0.26159,0.26982,0.25936,0.26158,0.15746,0.16534,0.16239,0.2274,0.3447,0.2462,0.31736,0.33732,0.36403,0.27041,0.35951,0.33306,0.26851,0.36169,0.45877,0.55176,0.24532,0.22957,0.39123,0.30582,0.2529,0.24048,0.21938,0.24578,0.24135,0.25006,0.22975,0.23707,0.24494,0.24112,0.24375,0.28346,0.27747,0.2156,0.2297,0.2231,0.22402,0.23278,0.23127,0.20769,0.23186,0.22148,0.23273,0.32105,0.15039,0.14762,0.13971,0.1508,0.1589,0.1443,0.1609,0.14403,0.14427,0.15831,0.15386,0.25918,0.26551,0.26571,0.15995,0.25906,0.26934,0.27332,0.26606,0.25567,0.25059,0.27105,0.22179,0.24713,0.23699,0.24843,0.24502,0.24451,0.24455,0.24699,0.25057,0.24399,0.33474,0.14142,0.14766,0.15306,0.15812,0.16269,0.1478,0.16083,0.14786,0.14591,0.1611,0.15108,0.25305,0.25438,0.2626,0.17024,0.25957,0.27273,0.27436,0.25909,0.25613,0.24324,0.25047,0.22054,0.2422,0.23307,0.22909,0.22892,0.23586,0.23582,0.24252,0.24835,0.23769
1371,0.3190894694963521,0.28214,0.27541,0.28445,0.28072,0.2722,0.27178,0.27335,0.2677,0.27741,0.26851,0.26893,0.16133,0.16369,0.16285,0.22847,0.34853,0.27529,0.31724,0.33251,0.35802,0.30815,0.33127,0.34495,0.30051,0.35608,0.50362,0.52373,0.25571,0.23468,0.42532,0.31315,0.25214,0.25849,0.2391,0.24776,0.24256,0.25983,0.23582,0.25162,0.25536,0.25847,0.24194,0.30905,0.27695,0.21956,0.23718,0.23868,0.23015,0.23213,0.23857,0.21737,0.24025,0.23021,0.239,0.38529,0.15647,0.15607,0.14803,0.15296,0.15991,0.15059,0.16671,0.14765,0.14628,0.16411,0.15704,0.26301,0.26797,0.2667,0.16507,0.28074,0.26818,0.27348,0.27308,0.25947,0.2604,0.27172,0.2297,0.24705,0.24867,0.24899,0.24297,0.25551,0.25386,0.26634,0.25938,0.25409,0.36848,0.1464,0.15565,0.15602,0.16357,0.162,0.15174,0.16528,0.14357,0.15014,0.16457,0.15568,0.256,0.25464,0.26859,0.17269,0.26806,0.27665,0.28002,0.25935,0.25024,0.2579,0.25666,0.22307,0.24893,0.23987,0.23158,0.23096,0.2472,0.24841,0.243,0.25136,0.24337
1372,0.32020907906267815,0.28053,0.27285,0.28285,0.27793,0.26868,0.26989,0.26687,0.26419,0.27758,0.26883,0.26693,0.15917,0.1612,0.1594,0.22157,0.33981,0.29853,0.29301,0.30291,0.33546,0.34316,0.28638,0.33254,0.29548,0.32892,0.4399,0.42884,0.27883,0.23727,0.40461,0.30483,0.24126,0.26457,0.25124,0.2384,0.23208,0.25493,0.23182,0.25695,0.25488,0.25854,0.23465,0.31075,0.25882,0.21682,0.23343,0.24464,0.22631,0.22243,0.23333,0.22327,0.23618,0.23113,0.23354,0.40278,0.15581,0.15839,0.14854,0.15125,0.1565,0.14922,0.16412,0.14438,0.14653,0.16488,0.15364,0.25685,0.26146,0.2563,0.16504,0.2916,0.25711,0.26047,0.26658,0.25052,0.25579,0.25535,0.22993,0.23779,0.25236,0.24033,0.23424,0.25617,0.25276,0.27207,0.25522,0.25413,0.39054,0.14569,0.15448,0.15348,0.16104,0.15788,0.15085,0.16288,0.13786,0.15042,0.16139,0.154,0.24829,0.24222,0.26146,0.17028,0.26701,0.26807,0.26882,0.24902,0.23716,0.25895,0.25313,0.22414,0.24633,0.23531,0.22697,0.2257,0.24873,0.25095,0.23741,0.244,0.23865
